,id,time,event,option1,sector,label,nr_jobs
3323,2179,31.0,StanfoResearch Dev University,Graduate Student,research,consulting,10
3324,2179,35.0027,IBM,Research Staff Member,consulting,consulting,10
3325,2179,42.0082,IBM,Sr Manage,consulting,consulting,10
3326,2179,45.011,IBM,Consult Tech Strategy Dev Staff,consulting,consulting,10
3327,2179,46.011,IBM,Sr Manage,consulting,consulting,10
3328,2179,54.0164,IBM,Associate Director compute Science,consulting,consulting,10
3329,2179,59.0192,IBM,Department Group Manage Software Tech,consulting,consulting,10
3330,2179,61.0219,IBM,Director Program Models Tool,consulting,consulting,10
3331,2179,66.7726,IBM,Director compute Science IBMAlmaden,consulting,consulting,10
3332,2179,69.7753,IBM,Head compute Science IBM; Distinguished Research Staff Member,consulting,consulting,10
