,id,time,event,option1,sector,label,nr_jobs
2030,1343,25.0,Microsoft,Software Design Eng Windows Shell Windows Division,saas,social_media,10
2031,1343,28.0027,Microsoft,Software Design Eng TabletPC Windows Division,saas,social_media,10
2032,1343,29.4219,Microsoft,Dev Lead Content Manage Server fice Division,saas,social_media,10
2033,1343,32.3397,Microsoft,Sr Dev Lead Anti Spam Windows Live Platform,saas,social_media,10
2034,1343,34.4247,Microsoft,Sr Dev Lead AdCenter Online Service Division,saas,social_media,10
2035,1343,35.9233,Microsoft,Sr Dev Lead Silverlight Dev Division,saas,social_media,10
2036,1343,39.2603,Microsoft,Sr Dev Lead Applied Platform Windows Phone,saas,social_media,10
2037,1343,40.263000000000005,Amazon,Software Dev Manage Tablet Apps Amazon Mobile,ecommerce,social_media,10
2038,1343,41.5973,Amazon,Software Dev Manage Mobile Platform Amazon Mobile,ecommerce,social_media,10
2039,1343,42.5973,LinkedIn,Software Eng Manage,social_media,social_media,10
