,time,event0,event1,event2,event3,event4,event5
0,0.0,mobile,15,0.0,1.0,3.0,1.0
1,1.0,mobile,15,3.0,3.0,1.0,3.0
2,4.0,mobile,15,4.0,1.0,2.0,1.0
3,5.0,mobile,15,6.0,2.0,2.0,2.0
4,7.0,mobile,15,8.0,2.0,1.0,2.0
5,9.0,mobile,15,9.0,1.0,1.0,1.0
6,10.0,mobile,15,10.0,1.0,2.0,1.0
7,11.0,mobile,15,12.0,3.0,3.0,2.0
8,14.0,mobile,15,15.0,2.0,2.0,2.0
9,16.0,mobile,15,17.0,2.0,1.0,2.0
10,18.0,mobile,15,18.0,1.0,1.0,1.0
11,19.0,mobile,15,19.0,1.0,2.0,1.0
12,20.0,mobile,15,21.0,2.0,1.0,2.0
13,22.0,mobile,15,22.0,1.0,8.0,1.0
