,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,17,0.0,3.0,2.0,3.0
1,3.0,mobile,17,2.0,2.0,1.0,2.0
2,5.0,mobile,17,3.0,1.0,1.0,1.0
3,6.0,mobile,17,4.0,1.0,4.0,1.0
4,7.0,desktop,17,8.0,4.0,3.0,4.0
5,11.0,desktop,17,11.0,3.0,3.0,3.0
6,14.0,desktop,17,14.0,5.0,4.0,3.0
7,19.0,mobile,17,18.0,2.0,1.0,2.0
8,21.0,desktop,17,19.0,1.0,2.0,1.0
9,22.0,desktop,17,21.0,4.0,3.0,2.0
10,26.0,mobile,17,24.0,1.0,3.0,1.0
11,27.0,mobile,17,27.0,4.0,4.0,3.0
12,31.0,mobile,17,31.0,3.0,1.0,3.0
13,34.0,mobile,17,32.0,1.0,4.0,1.0
14,35.0,desktop,17,36.0,4.0,1.0,4.0
15,39.0,mobile,17,37.0,1.0,1.0,1.0
