,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,15,0.0,1.0,1.0,1.0
1,1.0,desktop,15,1.0,1.0,2.0,1.0
2,2.0,desktop,15,3.0,2.0,1.0,2.0
3,4.0,desktop,15,4.0,1.0,1.0,1.0
4,5.0,desktop,15,5.0,1.0,2.0,1.0
5,6.0,desktop,15,7.0,2.0,1.0,2.0
6,8.0,desktop,15,8.0,138.0,139.0,1.0
7,146.0,desktop,15,147.0,2.0,2.0,2.0
8,148.0,desktop,15,149.0,2.0,2.0,2.0
9,150.0,desktop,15,151.0,2.0,2.0,2.0
10,152.0,desktop,15,153.0,2.0,1.0,2.0
11,154.0,desktop,15,154.0,1.0,1.0,1.0
12,155.0,desktop,15,155.0,1.0,3.0,1.0
13,156.0,desktop,15,158.0,3.0,1.0,3.0
