,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,17,0.0,1.0,2.0,1.0
1,1.0,desktop,17,2.0,2.0,1.0,2.0
2,3.0,desktop,17,3.0,1.0,2.0,1.0
3,4.0,desktop,17,5.0,2.0,1.0,2.0
4,6.0,desktop,17,6.0,1.0,2.0,1.0
5,7.0,desktop,17,8.0,2.0,2.0,2.0
6,9.0,desktop,17,10.0,2.0,3.0,2.0
7,11.0,desktop,17,13.0,3.0,1.0,3.0
8,14.0,desktop,17,14.0,1.0,1.0,1.0
9,15.0,desktop,17,15.0,1.0,1.0,1.0
10,16.0,desktop,17,16.0,1.0,5.0,1.0
11,17.0,desktop,17,21.0,147.0,143.0,5.0
12,164.0,desktop,17,164.0,1.0,2.0,1.0
13,165.0,desktop,17,166.0,2.0,1.0,2.0
14,167.0,desktop,17,167.0,1.0,2.0,1.0
15,168.0,desktop,17,169.0,2.0,1.0,2.0
