,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,16,0.0,1.0,1.0,1.0
1,1.0,desktop,16,1.0,1.0,2.0,1.0
2,2.0,desktop,16,3.0,2.0,1.0,2.0
3,4.0,desktop,16,4.0,1.0,1.0,1.0
4,5.0,desktop,16,5.0,1.0,3.0,1.0
5,6.0,desktop,16,8.0,4.0,2.0,3.0
6,10.0,desktop,16,10.0,1.0,2.0,1.0
7,11.0,desktop,16,12.0,2.0,1.0,2.0
8,13.0,desktop,16,13.0,1.0,2.0,1.0
9,14.0,desktop,16,15.0,2.0,1.0,2.0
10,16.0,desktop,16,16.0,4.0,5.0,1.0
11,20.0,desktop,16,21.0,2.0,1.0,2.0
12,22.0,mobile,16,22.0,1.0,3.0,1.0
13,23.0,desktop,16,25.0,3.0,2.0,3.0
14,26.0,mobile,16,27.0,2.0,1.0,2.0
