,time,event0,event1,event2,event3,event4,event5
0,0.0,tablet,21,0.0,1.0,2.0,1.0
1,1.0,tablet,21,2.0,2.0,1.0,2.0
2,3.0,tablet,21,3.0,1.0,1.0,1.0
3,4.0,tablet,21,4.0,1.0,1.0,1.0
4,5.0,tablet,21,5.0,1.0,1.0,1.0
5,6.0,tablet,21,6.0,1.0,3.0,1.0
6,7.0,tablet,21,9.0,3.0,1.0,3.0
7,10.0,mobile,21,10.0,1.0,2.0,1.0
8,11.0,mobile,21,12.0,2.0,2.0,2.0
9,13.0,mobile,21,14.0,62.0,61.0,2.0
10,75.0,mobile,21,75.0,1.0,2.0,1.0
11,76.0,mobile,21,77.0,2.0,1.0,2.0
12,78.0,tablet,21,78.0,1.0,1.0,1.0
13,79.0,mobile,21,79.0,1.0,1.0,1.0
14,80.0,mobile,21,80.0,1.0,1.0,1.0
15,81.0,mobile,21,81.0,43.0,43.0,1.0
16,124.0,mobile,21,124.0,1.0,1.0,1.0
17,125.0,mobile,21,125.0,1.0,1.0,1.0
18,126.0,mobile,21,126.0,1.0,1.0,1.0
19,127.0,mobile,21,127.0,1.0,2.0,1.0
