,time,event0,event1,event2,event3,event4,event5
0,0.0,mobile,18,0.0,1.0,3.0,1.0
1,1.0,mobile,18,3.0,3.0,1.0,3.0
2,4.0,mobile,18,4.0,1.0,1.0,1.0
3,5.0,mobile,18,5.0,1.0,1.0,1.0
4,6.0,mobile,18,6.0,1.0,1.0,1.0
5,7.0,mobile,18,7.0,1.0,3.0,1.0
6,8.0,mobile,18,10.0,3.0,2.0,3.0
7,11.0,mobile,18,12.0,2.0,1.0,2.0
8,13.0,mobile,18,13.0,1.0,1.0,1.0
9,14.0,mobile,18,14.0,1.0,1.0,1.0
10,15.0,mobile,18,15.0,1.0,3.0,1.0
11,16.0,mobile,18,18.0,3.0,3.0,3.0
12,19.0,mobile,18,21.0,193.0,191.0,3.0
13,212.0,mobile,18,212.0,1.0,1.0,1.0
14,213.0,mobile,18,213.0,1.0,1.0,1.0
15,214.0,mobile,18,214.0,1.0,1.0,1.0
16,215.0,mobile,18,215.0,1.0,2.0,1.0
