,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,21,0.0,3.0,1.0,3.0
1,3.0,mobile,21,1.0,1.0,1.0,1.0
2,4.0,mobile,21,2.0,1.0,1.0,1.0
3,5.0,mobile,21,3.0,1.0,1.0,1.0
4,6.0,mobile,21,4.0,1.0,1.0,1.0
5,7.0,mobile,21,5.0,1.0,1.0,1.0
6,8.0,mobile,21,6.0,1.0,2.0,1.0
7,9.0,mobile,21,8.0,2.0,1.0,2.0
8,11.0,mobile,21,9.0,1.0,1.0,1.0
9,12.0,mobile,21,10.0,1.0,1.0,1.0
10,13.0,desktop,21,11.0,1.0,1.0,1.0
11,14.0,desktop,21,12.0,1.0,1.0,1.0
12,15.0,desktop,21,13.0,1.0,1.0,1.0
13,16.0,desktop,21,14.0,1.0,1.0,1.0
14,17.0,desktop,21,15.0,1.0,1.0,1.0
15,18.0,desktop,21,16.0,1.0,1.0,1.0
16,19.0,mobile,21,17.0,3.0,3.0,1.0
17,22.0,mobile,21,20.0,1.0,1.0,1.0
18,23.0,mobile,21,21.0,1.0,1.0,1.0
19,24.0,mobile,21,22.0,1.0,3.0,1.0
