,time,event0,event1,event2,event3,event4,event5
0,0.0,mobile,16,0.0,3.0,1.0,3.0
1,3.0,mobile,16,1.0,1.0,1.0,1.0
2,4.0,mobile,16,2.0,1.0,1.0,1.0
3,5.0,mobile,16,3.0,1.0,4.0,1.0
4,6.0,mobile,16,7.0,4.0,1.0,4.0
5,10.0,mobile,16,8.0,124.0,125.0,1.0
6,134.0,mobile,16,133.0,2.0,1.0,2.0
7,136.0,tablet,16,134.0,1.0,2.0,1.0
8,137.0,mobile,16,136.0,2.0,1.0,2.0
9,139.0,mobile,16,137.0,1.0,1.0,1.0
10,140.0,mobile,16,138.0,1.0,1.0,1.0
11,141.0,mobile,16,139.0,126.0,126.0,1.0
12,267.0,mobile,16,265.0,1.0,2.0,1.0
13,268.0,mobile,16,267.0,2.0,1.0,2.0
14,270.0,mobile,16,268.0,1.0,1.0,1.0
