,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,22,0.0,2.0,2.0,2.0
1,2.0,desktop,22,2.0,2.0,1.0,2.0
2,4.0,desktop,22,3.0,1.0,1.0,1.0
3,5.0,mobile,22,4.0,1.0,1.0,1.0
4,6.0,desktop,22,5.0,1.0,2.0,1.0
5,7.0,mobile,22,7.0,2.0,1.0,2.0
6,9.0,mobile,22,8.0,1.0,1.0,1.0
7,10.0,mobile,22,9.0,1.0,1.0,1.0
8,11.0,mobile,22,10.0,1.0,2.0,1.0
9,12.0,tablet,22,12.0,2.0,2.0,2.0
10,14.0,mobile,22,14.0,2.0,2.0,2.0
11,16.0,mobile,22,16.0,2.0,3.0,2.0
12,18.0,desktop,22,19.0,3.0,2.0,3.0
13,21.0,desktop,22,21.0,2.0,1.0,2.0
14,23.0,desktop,22,22.0,1.0,2.0,1.0
15,24.0,tablet,22,24.0,2.0,1.0,2.0
16,26.0,tablet,22,25.0,1.0,1.0,1.0
17,27.0,tablet,22,26.0,1.0,4.0,1.0
18,28.0,tablet,22,30.0,4.0,1.0,4.0
19,32.0,tablet,22,31.0,1.0,1.0,1.0
20,33.0,tablet,22,32.0,1.0,5.0,1.0
