,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,29,0.0,1.0,1.0,1.0
1,1.0,desktop,29,1.0,2.0,2.0,1.0
2,3.0,desktop,29,3.0,1.0,1.0,1.0
3,4.0,mobile,29,4.0,1.0,1.0,1.0
4,5.0,mobile,29,5.0,1.0,1.0,1.0
5,6.0,mobile,29,6.0,1.0,1.0,1.0
6,7.0,mobile,29,7.0,1.0,2.0,1.0
7,8.0,mobile,29,9.0,3.0,3.0,2.0
8,11.0,mobile,29,12.0,2.0,1.0,2.0
9,13.0,mobile,29,13.0,1.0,1.0,1.0
10,14.0,mobile,29,14.0,1.0,1.0,1.0
11,15.0,mobile,29,15.0,5.0,5.0,1.0
12,20.0,mobile,29,20.0,1.0,1.0,1.0
13,21.0,mobile,29,21.0,1.0,1.0,1.0
14,22.0,mobile,29,22.0,1.0,1.0,1.0
15,23.0,mobile,29,23.0,219.0,219.0,1.0
16,242.0,desktop,29,242.0,1.0,1.0,1.0
17,243.0,desktop,29,243.0,1.0,1.0,1.0
18,244.0,mobile,29,244.0,1.0,1.0,1.0
19,245.0,desktop,29,245.0,1.0,1.0,1.0
20,246.0,mobile,29,246.0,1.0,1.0,1.0
21,247.0,desktop,29,247.0,1.0,1.0,1.0
22,248.0,desktop,29,248.0,1.0,1.0,1.0
23,249.0,desktop,29,249.0,1.0,1.0,1.0
24,250.0,desktop,29,250.0,1.0,1.0,1.0
25,251.0,desktop,29,251.0,1.0,1.0,1.0
26,252.0,desktop,29,252.0,1.0,2.0,1.0
27,253.0,desktop,29,254.0,2.0,1.0,2.0
