,time,event0,event1,event2,event3,event4,event5
0,0.0,mobile,16,0.0,1.0,2.0,1.0
1,1.0,desktop,16,2.0,2.0,11.0,2.0
2,3.0,mobile,16,13.0,11.0,2.0,11.0
3,14.0,desktop,16,15.0,2.0,1.0,2.0
4,16.0,desktop,16,16.0,1.0,2.0,1.0
5,17.0,desktop,16,18.0,70.0,71.0,2.0
6,87.0,desktop,16,89.0,3.0,2.0,3.0
7,90.0,desktop,16,91.0,2.0,4.0,2.0
8,92.0,desktop,16,95.0,4.0,5.0,4.0
9,96.0,desktop,16,100.0,5.0,7.0,5.0
10,101.0,desktop,16,107.0,75.0,69.0,7.0
11,176.0,desktop,16,176.0,1.0,7.0,1.0
12,177.0,desktop,16,183.0,7.0,1.0,7.0
13,184.0,desktop,16,184.0,1.0,3.0,1.0
14,185.0,desktop,16,187.0,3.0,1.0,3.0
