,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,20,0.0,1.0,1.0,1.0
1,1.0,desktop,20,1.0,1.0,1.0,1.0
2,2.0,desktop,20,2.0,1.0,1.0,1.0
3,3.0,desktop,20,3.0,1.0,1.0,1.0
4,4.0,desktop,20,4.0,1.0,1.0,1.0
5,5.0,desktop,20,5.0,1.0,1.0,1.0
6,6.0,desktop,20,6.0,1.0,1.0,1.0
7,7.0,desktop,20,7.0,1.0,1.0,1.0
8,8.0,desktop,20,8.0,1.0,1.0,1.0
9,9.0,desktop,20,9.0,1.0,1.0,1.0
10,10.0,desktop,20,10.0,1.0,2.0,1.0
11,11.0,desktop,20,12.0,2.0,2.0,2.0
12,13.0,desktop,20,14.0,2.0,2.0,2.0
13,15.0,desktop,20,16.0,2.0,1.0,2.0
14,17.0,desktop,20,17.0,1.0,1.0,1.0
15,18.0,desktop,20,18.0,1.0,1.0,1.0
16,19.0,desktop,20,19.0,1.0,1.0,1.0
17,20.0,tablet,20,20.0,1.0,1.0,1.0
18,21.0,desktop,20,21.0,1.0,1.0,1.0
