,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,20,0.0,2.0,1.0,2.0
1,2.0,desktop,20,1.0,1.0,2.0,1.0
2,3.0,desktop,20,3.0,2.0,2.0,2.0
3,5.0,mobile,20,5.0,3.0,8.0,2.0
4,8.0,mobile,20,13.0,7.0,2.0,7.0
5,15.0,mobile,20,15.0,2.0,3.0,2.0
6,17.0,mobile,20,18.0,3.0,2.0,3.0
7,20.0,mobile,20,20.0,2.0,7.0,2.0
8,22.0,desktop,20,27.0,7.0,2.0,7.0
9,29.0,desktop,20,29.0,2.0,2.0,2.0
10,31.0,desktop,20,31.0,2.0,1.0,2.0
11,33.0,mobile,20,32.0,214.0,217.0,1.0
12,247.0,desktop,20,249.0,4.0,2.0,4.0
13,251.0,mobile,20,251.0,2.0,3.0,2.0
14,253.0,mobile,20,254.0,3.0,2.0,3.0
15,256.0,mobile,20,256.0,2.0,2.0,2.0
16,258.0,mobile,20,258.0,2.0,1.0,2.0
17,260.0,tablet,20,259.0,1.0,2.0,1.0
18,261.0,tablet,20,261.0,2.0,2.0,2.0
