,time,event0,event1,event2,event3,event4,event5
0,0.0,mobile,27,0.0,5.0,3.0,5.0
1,5.0,mobile,27,3.0,3.0,4.0,3.0
2,8.0,mobile,27,7.0,4.0,4.0,4.0
3,12.0,mobile,27,11.0,4.0,4.0,4.0
4,16.0,mobile,27,15.0,4.0,4.0,4.0
5,20.0,mobile,27,19.0,102.0,102.0,4.0
6,122.0,mobile,27,121.0,4.0,3.0,4.0
7,126.0,mobile,27,124.0,3.0,5.0,3.0
8,129.0,mobile,27,129.0,5.0,4.0,5.0
9,134.0,mobile,27,133.0,4.0,5.0,4.0
10,138.0,mobile,27,138.0,5.0,4.0,5.0
11,143.0,mobile,27,142.0,4.0,3.0,4.0
12,147.0,mobile,27,145.0,3.0,3.0,3.0
13,150.0,mobile,27,148.0,6.0,6.0,3.0
14,156.0,mobile,27,154.0,3.0,3.0,3.0
15,159.0,mobile,27,157.0,3.0,2.0,3.0
16,162.0,mobile,27,159.0,2.0,3.0,2.0
17,164.0,mobile,27,162.0,3.0,2.0,3.0
18,167.0,mobile,27,164.0,2.0,3.0,2.0
19,169.0,mobile,27,167.0,3.0,1.0,3.0
20,172.0,mobile,27,168.0,124.0,129.0,1.0
21,296.0,desktop,27,297.0,6.0,3.0,6.0
22,302.0,mobile,27,300.0,3.0,5.0,3.0
23,305.0,mobile,27,305.0,5.0,5.0,5.0
24,310.0,mobile,27,310.0,5.0,4.0,5.0
25,315.0,mobile,27,314.0,4.0,4.0,4.0
