,time,event0,event1,event2,event3,event4,event5
0,0.0,mobile,17,0.0,4.0,1.0,4.0
1,4.0,mobile,17,1.0,1.0,1.0,1.0
2,5.0,mobile,17,2.0,1.0,1.0,1.0
3,6.0,mobile,17,3.0,1.0,1.0,1.0
4,7.0,mobile,17,4.0,1.0,1.0,1.0
5,8.0,mobile,17,5.0,1.0,1.0,1.0
6,9.0,mobile,17,6.0,3.0,3.0,1.0
7,12.0,mobile,17,9.0,1.0,1.0,1.0
8,13.0,mobile,17,10.0,1.0,1.0,1.0
9,14.0,mobile,17,11.0,1.0,2.0,1.0
10,15.0,desktop,17,13.0,2.0,1.0,2.0
11,17.0,mobile,17,14.0,109.0,109.0,1.0
12,126.0,mobile,17,123.0,1.0,3.0,1.0
13,127.0,mobile,17,126.0,3.0,1.0,3.0
14,130.0,mobile,17,127.0,1.0,2.0,1.0
15,131.0,mobile,17,129.0,2.0,1.0,2.0
