,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,21,0.0,2.0,1.0,2.0
1,2.0,desktop,21,1.0,1.0,1.0,1.0
2,3.0,desktop,21,2.0,1.0,2.0,1.0
3,4.0,desktop,21,4.0,186.0,186.0,2.0
4,190.0,desktop,21,190.0,2.0,3.0,2.0
5,192.0,desktop,21,193.0,3.0,4.0,3.0
6,195.0,desktop,21,197.0,4.0,1.0,4.0
7,199.0,desktop,21,198.0,1.0,4.0,1.0
8,200.0,desktop,21,202.0,126.0,123.0,4.0
9,326.0,desktop,21,325.0,1.0,1.0,1.0
10,327.0,tablet,21,326.0,1.0,2.0,1.0
11,328.0,desktop,21,328.0,2.0,1.0,2.0
12,330.0,desktop,21,329.0,1.0,1.0,1.0
13,331.0,desktop,21,330.0,1.0,2.0,1.0
14,332.0,desktop,21,332.0,2.0,1.0,2.0
15,334.0,desktop,21,333.0,1.0,1.0,1.0
16,335.0,desktop,21,334.0,1.0,2.0,1.0
17,336.0,desktop,21,336.0,2.0,1.0,2.0
18,338.0,desktop,21,337.0,1.0,2.0,1.0
19,339.0,desktop,21,339.0,2.0,2.0,2.0
