,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,15,0.0,2.0,1.0,2.0
1,2.0,desktop,15,1.0,1.0,1.0,1.0
2,3.0,desktop,15,2.0,1.0,1.0,1.0
3,4.0,desktop,15,3.0,1.0,1.0,1.0
4,5.0,desktop,15,4.0,1.0,2.0,1.0
5,6.0,desktop,15,6.0,2.0,3.0,2.0
6,8.0,desktop,15,9.0,223.0,221.0,3.0
7,231.0,desktop,15,230.0,1.0,1.0,1.0
8,232.0,desktop,15,231.0,1.0,1.0,1.0
9,233.0,desktop,15,232.0,1.0,1.0,1.0
10,234.0,desktop,15,233.0,1.0,2.0,1.0
11,235.0,desktop,15,235.0,2.0,1.0,2.0
12,237.0,mobile,15,236.0,1.0,1.0,1.0
13,238.0,desktop,15,237.0,1.0,1.0,1.0
