,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,15,0.0,2.0,2.0,2.0
1,2.0,desktop,15,2.0,2.0,2.0,2.0
2,4.0,desktop,15,4.0,2.0,4.0,2.0
3,6.0,desktop,15,8.0,71.0,73.0,4.0
4,77.0,desktop,15,81.0,6.0,5.0,6.0
5,83.0,desktop,15,86.0,5.0,4.0,5.0
6,88.0,desktop,15,90.0,4.0,1.0,4.0
7,92.0,desktop,15,91.0,76.0,76.0,1.0
8,168.0,desktop,15,167.0,1.0,2.0,1.0
9,169.0,desktop,15,169.0,2.0,2.0,2.0
10,171.0,desktop,15,171.0,2.0,3.0,2.0
11,173.0,desktop,15,174.0,3.0,2.0,3.0
12,176.0,desktop,15,176.0,2.0,3.0,2.0
13,178.0,desktop,15,179.0,3.0,1.0,3.0
