,time,event0,event1,event2,event3,event4,event5
0,0.0,mobile,17,0.0,3.0,1.0,3.0
1,3.0,mobile,17,1.0,1.0,1.0,1.0
2,4.0,mobile,17,2.0,1.0,3.0,1.0
3,5.0,mobile,17,5.0,189.0,187.0,3.0
4,194.0,desktop,17,192.0,1.0,1.0,1.0
5,195.0,mobile,17,193.0,1.0,1.0,1.0
6,196.0,mobile,17,194.0,1.0,1.0,1.0
7,197.0,mobile,17,195.0,1.0,1.0,1.0
8,198.0,mobile,17,196.0,1.0,1.0,1.0
9,199.0,mobile,17,197.0,1.0,1.0,1.0
10,200.0,mobile,17,198.0,5.0,5.0,1.0
11,205.0,mobile,17,203.0,1.0,1.0,1.0
12,206.0,mobile,17,204.0,1.0,1.0,1.0
13,207.0,mobile,17,205.0,1.0,1.0,1.0
14,208.0,mobile,17,206.0,1.0,1.0,1.0
15,209.0,mobile,17,207.0,1.0,1.0,1.0
