,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,36,0.0,3.0,1.0,3.0
1,3.0,desktop,36,1.0,1.0,1.0,1.0
2,4.0,desktop,36,2.0,5.0,5.0,1.0
3,9.0,desktop,36,7.0,15.0,15.0,1.0
4,24.0,desktop,36,22.0,1.0,1.0,1.0
5,25.0,desktop,36,23.0,1.0,3.0,1.0
6,26.0,desktop,36,26.0,3.0,2.0,3.0
7,29.0,desktop,36,28.0,3.0,2.0,2.0
8,32.0,desktop,36,30.0,1.0,2.0,1.0
9,33.0,desktop,36,32.0,6.0,5.0,2.0
10,39.0,desktop,36,37.0,15.0,15.0,1.0
11,54.0,desktop,36,52.0,13.0,13.0,1.0
12,67.0,desktop,36,65.0,4.0,5.0,1.0
13,71.0,desktop,36,70.0,2.0,1.0,2.0
14,73.0,desktop,36,71.0,1.0,1.0,1.0
15,74.0,desktop,36,72.0,1.0,1.0,1.0
16,75.0,desktop,36,73.0,1.0,1.0,1.0
17,76.0,desktop,36,74.0,8.0,8.0,1.0
18,84.0,desktop,36,82.0,1.0,1.0,1.0
19,85.0,desktop,36,83.0,1.0,1.0,1.0
20,86.0,desktop,36,84.0,1.0,1.0,1.0
21,87.0,desktop,36,85.0,1.0,1.0,1.0
22,88.0,desktop,36,86.0,1.0,1.0,1.0
23,89.0,desktop,36,87.0,1.0,1.0,1.0
24,90.0,desktop,36,88.0,2.0,2.0,1.0
25,92.0,desktop,36,90.0,1.0,1.0,1.0
26,93.0,desktop,36,91.0,2.0,2.0,1.0
27,95.0,desktop,36,93.0,16.0,18.0,1.0
28,111.0,desktop,36,111.0,3.0,2.0,3.0
29,114.0,desktop,36,113.0,2.0,1.0,2.0
30,116.0,desktop,36,114.0,1.0,1.0,1.0
31,117.0,desktop,36,115.0,4.0,4.0,1.0
32,121.0,desktop,36,119.0,1.0,3.0,1.0
33,122.0,desktop,36,122.0,3.0,1.0,3.0
34,125.0,desktop,36,123.0,4.0,4.0,1.0
