,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,18,0.0,1.0,1.0,1.0
1,1.0,desktop,18,1.0,1.0,1.0,1.0
2,2.0,desktop,18,2.0,1.0,1.0,1.0
3,3.0,desktop,18,3.0,1.0,1.0,1.0
4,4.0,desktop,18,4.0,4.0,4.0,1.0
5,8.0,desktop,18,8.0,1.0,1.0,1.0
6,9.0,desktop,18,9.0,1.0,1.0,1.0
7,10.0,desktop,18,10.0,1.0,1.0,1.0
8,11.0,desktop,18,11.0,78.0,78.0,1.0
9,89.0,desktop,18,89.0,1.0,1.0,1.0
10,90.0,desktop,18,90.0,1.0,1.0,1.0
11,91.0,desktop,18,91.0,1.0,1.0,1.0
12,92.0,desktop,18,92.0,1.0,1.0,1.0
13,93.0,desktop,18,93.0,57.0,57.0,1.0
14,150.0,desktop,18,150.0,1.0,5.0,1.0
15,151.0,desktop,18,155.0,5.0,1.0,5.0
16,156.0,desktop,18,156.0,1.0,2.0,1.0
