,time,event0,event1,event2,event3,event4,event5
0,0.0,mobile,18,0.0,2.0,1.0,2.0
1,2.0,mobile,18,1.0,1.0,1.0,1.0
2,3.0,mobile,18,2.0,1.0,1.0,1.0
3,4.0,mobile,18,3.0,1.0,1.0,1.0
4,5.0,mobile,18,4.0,1.0,1.0,1.0
5,6.0,mobile,18,5.0,1.0,1.0,1.0
6,7.0,mobile,18,6.0,1.0,1.0,1.0
7,8.0,mobile,18,7.0,1.0,2.0,1.0
8,9.0,mobile,18,9.0,166.0,165.0,2.0
9,175.0,mobile,18,174.0,1.0,2.0,1.0
10,176.0,mobile,18,176.0,2.0,1.0,2.0
11,178.0,mobile,18,177.0,1.0,1.0,1.0
12,179.0,mobile,18,178.0,1.0,1.0,1.0
13,180.0,mobile,18,179.0,1.0,1.0,1.0
14,181.0,mobile,18,180.0,1.0,1.0,1.0
15,182.0,mobile,18,181.0,1.0,1.0,1.0
16,183.0,mobile,18,182.0,1.0,1.0,1.0
