,time,event0,event1,event2,event3,event4,event5
0,0.0,mobile,16,0.0,1.0,1.0,1.0
1,1.0,mobile,16,1.0,1.0,1.0,1.0
2,2.0,mobile,16,2.0,1.0,1.0,1.0
3,3.0,mobile,16,3.0,46.0,46.0,1.0
4,49.0,mobile,16,49.0,1.0,1.0,1.0
5,50.0,mobile,16,50.0,1.0,1.0,1.0
6,51.0,mobile,16,51.0,1.0,1.0,1.0
7,52.0,mobile,16,52.0,4.0,4.0,1.0
8,56.0,mobile,16,56.0,1.0,1.0,1.0
9,57.0,mobile,16,57.0,1.0,1.0,1.0
10,58.0,mobile,16,58.0,1.0,1.0,1.0
11,59.0,mobile,16,59.0,81.0,81.0,1.0
12,140.0,mobile,16,140.0,1.0,1.0,1.0
13,141.0,mobile,16,141.0,1.0,1.0,1.0
14,142.0,mobile,16,142.0,1.0,1.0,1.0
