,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,15,0.0,3.0,4.0,3.0
1,3.0,desktop,15,4.0,4.0,2.0,4.0
2,7.0,desktop,15,6.0,2.0,3.0,2.0
3,9.0,desktop,15,9.0,3.0,3.0,3.0
4,12.0,desktop,15,12.0,3.0,1.0,3.0
5,15.0,desktop,15,13.0,1.0,3.0,1.0
6,16.0,desktop,15,16.0,4.0,3.0,3.0
7,20.0,desktop,15,19.0,2.0,3.0,2.0
8,22.0,desktop,15,22.0,3.0,2.0,3.0
9,25.0,desktop,15,24.0,2.0,1.0,2.0
10,27.0,desktop,15,25.0,1.0,1.0,1.0
11,28.0,desktop,15,26.0,1.0,1.0,1.0
12,29.0,desktop,15,27.0,1.0,2.0,1.0
13,30.0,desktop,15,29.0,2.0,2.0,2.0
