,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,17,0.0,1.0,1.0,1.0
1,1.0,desktop,17,1.0,1.0,2.0,1.0
2,2.0,desktop,17,3.0,2.0,1.0,2.0
3,4.0,desktop,17,4.0,1.0,1.0,1.0
4,5.0,desktop,17,5.0,1.0,1.0,1.0
5,6.0,desktop,17,6.0,1.0,2.0,1.0
6,7.0,desktop,17,8.0,2.0,2.0,2.0
7,9.0,desktop,17,10.0,2.0,1.0,2.0
8,11.0,desktop,17,11.0,1.0,2.0,1.0
9,12.0,desktop,17,13.0,2.0,1.0,2.0
10,14.0,desktop,17,14.0,1.0,4.0,1.0
11,15.0,desktop,17,18.0,4.0,3.0,4.0
12,19.0,desktop,17,21.0,3.0,2.0,3.0
13,22.0,desktop,17,23.0,2.0,1.0,2.0
14,24.0,desktop,17,24.0,1.0,2.0,1.0
15,25.0,desktop,17,26.0,2.0,1.0,2.0
