,time,event0,event1,event2,event3,event4,event5
0,0.0,mobile,15,0.0,1.0,5.0,1.0
1,1.0,desktop,15,5.0,5.0,1.0,5.0
2,6.0,desktop,15,6.0,1.0,1.0,1.0
3,7.0,desktop,15,7.0,76.0,77.0,1.0
4,83.0,mobile,15,84.0,2.0,1.0,2.0
5,85.0,mobile,15,85.0,1.0,1.0,1.0
6,86.0,desktop,15,86.0,1.0,1.0,1.0
7,87.0,mobile,15,87.0,1.0,1.0,1.0
8,88.0,mobile,15,88.0,1.0,1.0,1.0
9,89.0,desktop,15,89.0,105.0,105.0,1.0
10,194.0,mobile,15,194.0,1.0,1.0,1.0
11,195.0,mobile,15,195.0,1.0,2.0,1.0
12,196.0,mobile,15,197.0,2.0,1.0,2.0
13,198.0,desktop,15,198.0,1.0,1.0,1.0
