,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,17,0.0,2.0,1.0,2.0
1,2.0,desktop,17,1.0,1.0,1.0,1.0
2,3.0,desktop,17,2.0,1.0,1.0,1.0
3,4.0,desktop,17,3.0,1.0,1.0,1.0
4,5.0,desktop,17,4.0,1.0,2.0,1.0
5,6.0,desktop,17,6.0,2.0,6.0,2.0
6,8.0,desktop,17,12.0,6.0,1.0,6.0
7,14.0,desktop,17,13.0,1.0,2.0,1.0
8,15.0,desktop,17,15.0,2.0,1.0,2.0
9,17.0,desktop,17,16.0,1.0,1.0,1.0
10,18.0,desktop,17,17.0,1.0,1.0,1.0
11,19.0,desktop,17,18.0,1.0,1.0,1.0
12,20.0,desktop,17,19.0,1.0,3.0,1.0
13,21.0,desktop,17,22.0,3.0,3.0,3.0
14,24.0,desktop,17,25.0,3.0,1.0,3.0
15,27.0,desktop,17,26.0,1.0,1.0,1.0
