,time,event0,event1,event2,event3,event4,event5
0,0.0,mobile,26,0.0,1.0,2.0,1.0
1,1.0,mobile,26,2.0,2.0,1.0,2.0
2,3.0,desktop,26,3.0,1.0,2.0,1.0
3,4.0,desktop,26,5.0,128.0,127.0,2.0
4,132.0,mobile,26,132.0,1.0,2.0,1.0
5,133.0,mobile,26,134.0,2.0,1.0,2.0
6,135.0,desktop,26,135.0,1.0,1.0,1.0
7,136.0,desktop,26,136.0,15.0,17.0,1.0
8,151.0,mobile,26,153.0,3.0,1.0,3.0
9,154.0,mobile,26,154.0,1.0,1.0,1.0
10,155.0,desktop,26,155.0,1.0,1.0,1.0
11,156.0,mobile,26,156.0,1.0,1.0,1.0
12,157.0,mobile,26,157.0,51.0,52.0,1.0
13,208.0,mobile,26,209.0,2.0,1.0,2.0
14,210.0,mobile,26,210.0,1.0,2.0,1.0
15,211.0,desktop,26,212.0,2.0,1.0,2.0
16,213.0,mobile,26,213.0,87.0,87.0,1.0
17,300.0,mobile,26,300.0,1.0,2.0,1.0
18,301.0,mobile,26,302.0,2.0,1.0,2.0
19,303.0,mobile,26,303.0,1.0,2.0,1.0
20,304.0,mobile,26,305.0,2.0,2.0,2.0
21,306.0,mobile,26,307.0,40.0,39.0,2.0
22,346.0,desktop,26,346.0,1.0,2.0,1.0
23,347.0,mobile,26,348.0,2.0,1.0,2.0
24,349.0,desktop,26,349.0,1.0,1.0,1.0
