,time,event0,event1,event2,event3,event4,event5
0,0.0,mobile,20,0.0,1.0,1.0,1.0
1,1.0,mobile,20,1.0,1.0,1.0,1.0
2,2.0,mobile,20,2.0,1.0,5.0,1.0
3,3.0,mobile,20,7.0,5.0,2.0,5.0
4,8.0,mobile,20,9.0,2.0,1.0,2.0
5,10.0,mobile,20,10.0,2.0,2.0,1.0
6,12.0,mobile,20,12.0,1.0,1.0,1.0
7,13.0,mobile,20,13.0,1.0,1.0,1.0
8,14.0,mobile,20,14.0,1.0,1.0,1.0
9,15.0,mobile,20,15.0,1.0,1.0,1.0
10,16.0,mobile,20,16.0,1.0,1.0,1.0
11,17.0,mobile,20,17.0,1.0,1.0,1.0
12,18.0,mobile,20,18.0,1.0,1.0,1.0
13,19.0,mobile,20,19.0,253.0,254.0,1.0
14,272.0,mobile,20,273.0,2.0,1.0,2.0
15,274.0,mobile,20,274.0,1.0,1.0,1.0
16,275.0,mobile,20,275.0,1.0,1.0,1.0
17,276.0,mobile,20,276.0,1.0,1.0,1.0
18,277.0,mobile,20,277.0,1.0,3.0,1.0
