,time,event0,event1,event2,event3,event4,event5
0,0.0,mobile,14,0.0,1.0,2.0,1.0
1,1.0,mobile,14,2.0,2.0,3.0,2.0
2,3.0,mobile,14,5.0,3.0,3.0,3.0
3,6.0,mobile,14,8.0,106.0,104.0,3.0
4,112.0,mobile,14,112.0,1.0,2.0,1.0
5,113.0,mobile,14,114.0,2.0,2.0,2.0
6,115.0,mobile,14,116.0,2.0,1.0,2.0
7,117.0,mobile,14,117.0,1.0,3.0,1.0
8,118.0,mobile,14,120.0,114.0,113.0,3.0
9,232.0,mobile,14,233.0,2.0,1.0,2.0
10,234.0,mobile,14,234.0,1.0,1.0,1.0
11,235.0,mobile,14,235.0,1.0,2.0,1.0
12,236.0,mobile,14,237.0,2.0,2.0,2.0
