,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,27,0.0,1.0,2.0,1.0
1,1.0,desktop,27,2.0,2.0,1.0,2.0
2,3.0,desktop,27,3.0,1.0,1.0,1.0
3,4.0,desktop,27,4.0,1.0,1.0,1.0
4,5.0,desktop,27,5.0,2.0,3.0,1.0
5,7.0,desktop,27,8.0,2.0,1.0,2.0
6,9.0,desktop,27,9.0,1.0,1.0,1.0
7,10.0,desktop,27,10.0,1.0,1.0,1.0
8,11.0,desktop,27,11.0,1.0,1.0,1.0
9,12.0,desktop,27,12.0,1.0,1.0,1.0
10,13.0,desktop,27,13.0,1.0,1.0,1.0
11,14.0,desktop,27,14.0,1.0,1.0,1.0
12,15.0,desktop,27,15.0,1.0,1.0,1.0
13,16.0,desktop,27,16.0,1.0,3.0,1.0
14,17.0,desktop,27,19.0,3.0,1.0,3.0
15,20.0,desktop,27,20.0,1.0,1.0,1.0
16,21.0,desktop,27,21.0,1.0,1.0,1.0
17,22.0,desktop,27,22.0,1.0,1.0,1.0
18,23.0,desktop,27,23.0,1.0,1.0,1.0
19,24.0,desktop,27,24.0,1.0,1.0,1.0
20,25.0,desktop,27,25.0,1.0,1.0,1.0
21,26.0,desktop,27,26.0,103.0,104.0,1.0
22,129.0,desktop,27,130.0,2.0,2.0,2.0
23,131.0,desktop,27,132.0,2.0,2.0,2.0
24,133.0,desktop,27,134.0,2.0,4.0,2.0
25,135.0,desktop,27,138.0,4.0,1.0,4.0
