,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
78431,78431,78431,319245,desktop,30018,13,0.0,2016-08-31,1,1,1,4
78432,78432,78432,319245,desktop,11543,13,1.0,2016-09-01,1,1,1,4
78433,78433,78433,319245,desktop,18222,13,2.0,2016-09-02,1,1,1,4
78434,78434,78434,319245,desktop,7539,13,3.0,2016-09-03,1,1,1,4
78435,78435,78435,319245,desktop,19894,13,4.0,2016-09-04,1,1,1,4
78436,78436,78436,319245,desktop,3809,13,5.0,2016-09-05,1,1,1,4
78437,78437,78437,319245,desktop,13471,13,6.0,2016-09-06,1,1,1,4
78438,78438,78438,319245,desktop,0,13,7.0,2016-09-07,2,2,1,4
78439,78439,78439,319245,desktop,38569,13,9.0,2016-09-09,1,1,1,4
78440,78440,78440,319245,desktop,26945,13,10.0,2016-09-10,1,1,1,4
78441,78441,78441,319245,desktop,39200,13,11.0,2016-09-11,1,1,1,4
78442,78442,78442,319245,desktop,41971,13,12.0,2016-09-12,1,1,1,4
78443,78443,78443,319245,desktop,30018,13,13.0,2016-09-13,9999,9999,1,4
