,time,city_id
21333,0.0,64091
21334,5.0,64091
21335,6.0,64091
21336,8.0,64091
21337,10.0,64091
21338,12.0,64091
21339,14.0,64091
21340,16.0,64091
21341,18.0,64091
21342,20.0,64091
21343,22.0,64091
21344,26.0,64091
21345,28.0,64091
21346,29.0,64091
21347,30.0,64091
21348,31.0,64091
21349,32.0,64091
21350,33.0,0
21351,35.0,64091
21352,36.0,64091
21353,37.0,64091
21354,38.0,64091
21355,39.0,64091
21356,41.0,64091
21357,43.0,64091
21358,44.0,64091
21359,45.0,64091
21360,46.0,64091
21361,47.0,13356
21362,65.0,64091
21363,67.0,64091
21364,68.0,64091
21365,69.0,64091
21366,70.0,64091
21367,77.0,57931
21368,81.0,57931
21369,83.0,57931
21370,85.0,0
21371,88.0,57931
21372,89.0,57931
21373,90.0,57931
21374,91.0,57931
21375,92.0,67365
21376,98.0,64091
21377,99.0,64091
21378,100.0,64091
21379,101.0,0
21380,131.0,43736
21381,133.0,43736
21382,135.0,43736
21383,136.0,43736
21384,137.0,43736
21385,138.0,43736
21386,140.0,43736
21387,141.0,43736
21388,167.0,42937
21389,169.0,42937
21390,170.0,42937
21391,171.0,42937
21392,172.0,0
21393,175.0,42937
21394,176.0,2078
21395,177.0,2078
21396,178.0,0
