,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
36469,36469,36469,146941,tablet,22245,17,0.0,2016-05-12,1,5,1,4
36470,36470,36470,146941,desktop,56127,17,1.0,2016-05-17,5,5,5,4
36471,36471,36471,146941,desktop,12137,17,6.0,2016-05-22,5,3,5,4
36472,36472,36472,146941,desktop,23096,17,11.0,2016-05-25,133,131,3,4
36473,36473,36473,146941,desktop,33568,17,144.0,2016-10-03,1,1,1,4
36474,36474,36474,146941,desktop,52722,17,145.0,2016-10-04,1,1,1,4
36475,36475,36475,146941,desktop,20789,17,146.0,2016-10-05,1,1,1,4
36476,36476,36476,146941,desktop,55377,17,147.0,2016-10-06,1,1,1,4
36477,36477,36477,146941,desktop,18716,17,148.0,2016-10-07,1,1,1,4
36478,36478,36478,146941,desktop,21719,17,149.0,2016-10-08,1,1,1,4
36479,36479,36479,146941,desktop,51825,17,150.0,2016-10-09,1,1,1,4
36480,36480,36480,146941,desktop,12636,17,151.0,2016-10-10,1,1,1,4
36481,36481,36481,146941,desktop,5633,17,152.0,2016-10-11,1,1,1,4
36482,36482,36482,146941,desktop,31946,17,153.0,2016-10-12,1,1,1,4
36483,36483,36483,146941,desktop,28968,17,154.0,2016-10-13,1,1,1,4
36484,36484,36484,146941,desktop,41511,17,155.0,2016-10-14,1,2,1,4
36485,36485,36485,146941,desktop,18835,17,156.0,2016-10-16,9999,9999,2,4
