,time,city_id
83868,0.0,54719
83869,1.0,14389
83870,2.0,40070
83871,3.0,20091
83872,14.0,47030
83873,15.0,33425
83874,16.0,58315
83875,17.0,46116
83876,28.0,58092
83877,29.0,9589
83878,30.0,64241
83879,31.0,50931
83880,42.0,44805
83881,43.0,57849
83882,44.0,46474
83883,45.0,11292
83884,56.0,4021
83885,57.0,65746
83886,58.0,25056
83887,59.0,11292
83888,77.0,35492
83889,78.0,5416
83890,79.0,14389
83891,80.0,0
83892,91.0,65407
83893,92.0,65524
83894,93.0,11427
83895,94.0,5309
83896,98.0,21995
83897,99.0,2201
83898,100.0,29770
83899,101.0,0
83900,112.0,1324
83901,113.0,5416
83902,114.0,65648
83903,115.0,0
83904,140.0,45728
83905,141.0,64718
83906,142.0,60707
83907,143.0,25507
83908,161.0,12899
83909,162.0,49469
83910,163.0,31664
83911,164.0,0
83912,182.0,25507
83913,183.0,10963
83914,184.0,21266
83915,185.0,57915
83916,238.0,46116
83917,239.0,16144
83918,240.0,31781
83919,241.0,0
83920,252.0,11292
83921,253.0,14319
83922,254.0,40382
83923,255.0,9005
83924,266.0,31003
83925,267.0,21266
83926,268.0,31866
83927,269.0,41519
83928,273.0,41519
83929,274.0,12925
83930,275.0,50975
83931,276.0,3011
83932,301.0,55263
83933,302.0,41838
83934,303.0,24124
83935,304.0,40838
83936,315.0,12346
83937,316.0,61332
83938,317.0,24124
83939,318.0,20402
83940,319.0,25056
83941,322.0,23691
