,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
39921,39921,39921,159987,desktop,40963,17,0.0,2016-09-18,4,1,4,4
39922,39922,39922,159987,desktop,62920,17,4.0,2016-09-19,1,5,1,4
39923,39923,39923,159987,desktop,61982,17,5.0,2016-09-24,5,5,5,4
39924,39924,39924,159987,desktop,41111,17,10.0,2016-09-29,5,3,5,4
39925,39925,39925,159987,desktop,63834,17,15.0,2016-10-02,3,4,3,4
39926,39926,39926,159987,desktop,5781,17,18.0,2016-10-06,10,9,4,4
39927,39927,39927,159987,desktop,61487,17,28.0,2016-10-15,3,7,3,4
39928,39928,39928,159987,desktop,51135,17,31.0,2016-10-22,7,3,7,4
39929,39929,39929,159987,desktop,27624,17,38.0,2016-10-25,3,3,3,4
39930,39930,39930,159987,desktop,12308,17,41.0,2016-10-28,3,2,3,4
39931,39931,39931,159987,mobile,12308,17,44.0,2016-10-30,2,2,2,4
39932,39932,39932,159987,desktop,12308,17,46.0,2016-11-01,2,2,2,4
39933,39933,39933,159987,desktop,16047,17,48.0,2016-11-03,2,4,2,4
39934,39934,39934,159987,desktop,27404,17,50.0,2016-11-07,4,3,4,4
39935,39935,39935,159987,desktop,32821,17,54.0,2016-11-10,3,3,3,4
39936,39936,39936,159987,mobile,5781,17,57.0,2016-11-13,3,1,3,4
39937,39937,39937,159987,mobile,41111,17,60.0,2016-11-14,9999,9999,1,4
