,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
74662,74662,74662,303239,desktop,56121,10,0.0,2016-07-11,2,2,2,3
74663,74663,74663,303239,desktop,23921,10,2.0,2016-07-13,2,1,2,3
74664,74664,74664,303239,desktop,38023,10,4.0,2016-07-14,1,2,1,3
74665,74665,74665,303239,desktop,22175,10,5.0,2016-07-16,2,1,2,3
74666,74666,74666,303239,desktop,65322,10,7.0,2016-07-17,1,2,1,3
74667,74667,74667,303239,desktop,28496,10,8.0,2016-07-19,2,2,2,3
74668,74668,74668,303239,desktop,23921,10,10.0,2016-07-21,2,1,2,3
74669,74669,74669,303239,desktop,18673,10,12.0,2016-07-22,1,1,1,3
74670,74670,74670,303239,desktop,48253,10,13.0,2016-07-23,1,3,1,3
74671,74671,74671,303239,desktop,35512,10,14.0,2016-07-26,9999,9999,3,3
