,time,city_id
82101,0.0,35193
82102,1.0,1034
82103,2.0,58178
82104,9.0,699
82105,133.0,23634
82106,136.0,29562
82107,138.0,64078
82108,139.0,32123
82109,140.0,36491
82110,141.0,23472
82111,142.0,33878
82112,144.0,15134
82113,145.0,64824
82114,148.0,37625
82115,149.0,27624
82116,151.0,343
82117,152.0,61487
82118,154.0,33334
82119,157.0,18164
82120,159.0,11563
82121,160.0,10372
82122,161.0,19378
82123,162.0,40963
82124,164.0,61982
82125,166.0,41111
82126,168.0,10372
82127,169.0,20623
82128,188.0,23612
82129,190.0,17013
82130,192.0,31631
82131,193.0,17013
