,checkin,city_id
74746,0.0,3763
74747,3.0,66648
74748,4.0,51291
74749,5.0,0
74750,55.0,64876
74751,58.0,47378
74752,59.0,55128
74753,60.0,9608
74754,140.0,55763
74755,143.0,25946
74756,144.0,55763
74757,146.0,0
74758,150.0,61320
74759,151.0,42359
74760,153.0,41674
74761,154.0,53213
74762,160.0,43306
74763,162.0,19444
74764,164.0,36170
74765,166.0,64269
74766,167.0,36063
74767,308.0,64496
74768,310.0,59535
74769,312.0,61678
74770,314.0,58741
74771,316.0,51128
74772,318.0,51128
74773,319.0,36063
74774,320.0,20392
74775,321.0,4476
