,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
49139,49139,49139,198577,mobile,51259,10,0.0,2016-06-05,1,1,1,3
49140,49140,49140,198577,mobile,51259,10,1.0,2016-06-06,1,1,1,3
49141,49141,49141,198577,mobile,65663,10,2.0,2016-06-07,1,1,1,3
49142,49142,49142,198577,mobile,65663,10,3.0,2016-06-08,134,134,1,3
49143,49143,49143,198577,mobile,28115,10,137.0,2016-10-20,1,1,1,3
49144,49144,49144,198577,mobile,28115,10,138.0,2016-10-21,1,1,1,3
49145,49145,49145,198577,mobile,28115,10,139.0,2016-10-22,1,2,1,3
49146,49146,49146,198577,mobile,28115,10,140.0,2016-10-24,2,2,2,3
49147,49147,49147,198577,mobile,28115,10,142.0,2016-10-26,2,3,2,3
49148,49148,49148,198577,mobile,28115,10,144.0,2016-10-29,9999,9999,3,3
