,checkin,city_id
94514,0.0,44869
94515,1.0,44869
94516,2.0,44869
94517,3.0,44869
94518,4.0,44869
94519,14.0,30768
94520,16.0,52818
94521,17.0,44869
94522,18.0,44869
94523,19.0,25390
94524,43.0,44869
94525,44.0,44869
94526,45.0,44869
94527,46.0,44869
94528,64.0,44869
94529,65.0,44869
94530,66.0,44869
94531,67.0,44869
94532,68.0,44869
94533,69.0,44869
94534,90.0,44869
94535,91.0,44869
94536,92.0,44869
94537,93.0,44869
94538,94.0,44869
94539,95.0,44869
94540,96.0,0
94541,120.0,44869
94542,121.0,15337
94543,122.0,44869
94544,123.0,44869
94545,140.0,44869
94546,141.0,44869
94547,142.0,44869
94548,143.0,44869
94549,144.0,44869
94550,146.0,44869
94551,147.0,44869
94552,148.0,44869
94553,149.0,44869
94554,150.0,21003
94555,151.0,44869
94556,175.0,44869
94557,176.0,44869
94558,177.0,44869
94559,178.0,44869
94560,179.0,44869
94561,253.0,44869
94562,254.0,36063
94563,255.0,44869
94564,256.0,44869
94565,257.0,44869
94566,281.0,44869
94567,282.0,44869
94568,283.0,44869
94569,284.0,0
94570,302.0,44869
94571,303.0,44869
94572,304.0,44869
94573,305.0,0
94574,316.0,44869
94575,317.0,44869
94576,318.0,44869
94577,319.0,44869
94578,337.0,44869
94579,338.0,36063
94580,339.0,44869
94581,340.0,44869
94582,341.0,44869
94583,342.0,44869
94584,343.0,44869
