,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
87265,87265,87265,355864,tablet,47486,17,0.0,2016-02-18,1,3,1,4
87266,87266,87266,355864,mobile,53835,17,1.0,2016-02-21,3,2,3,4
87267,87267,87267,355864,mobile,47976,17,4.0,2016-02-23,2,1,2,4
87268,87268,87268,355864,mobile,47486,17,6.0,2016-02-24,1,7,1,4
87269,87269,87269,355864,tablet,25025,17,7.0,2016-03-02,7,1,7,4
87270,87270,87270,355864,tablet,7122,17,14.0,2016-03-03,1,2,1,4
87271,87271,87271,355864,mobile,7122,17,15.0,2016-03-05,2,3,2,4
87272,87272,87272,355864,tablet,22648,17,17.0,2016-03-08,18,16,3,4
87273,87273,87273,355864,tablet,3215,17,35.0,2016-03-24,1,3,1,4
87274,87274,87274,355864,mobile,29147,17,36.0,2016-03-27,3,1,3,4
87275,87275,87275,355864,tablet,29147,17,39.0,2016-03-28,1,1,1,4
87276,87276,87276,355864,mobile,29147,17,40.0,2016-03-29,1,1,1,4
87277,87277,87277,355864,mobile,47527,17,41.0,2016-03-30,160,160,1,4
87278,87278,87278,355864,mobile,28115,17,201.0,2016-09-06,1,2,1,4
87279,87279,87279,355864,tablet,31694,17,202.0,2016-09-08,2,1,2,4
87280,87280,87280,355864,mobile,12670,17,204.0,2016-09-09,1,2,1,4
87281,87281,87281,355864,desktop,0,17,205.0,2016-09-11,9999,9999,2,4
