,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
64400,64400,64400,261818,tablet,29622,14,0.0,2016-10-16,1,1,1,4
64401,64401,64401,261818,tablet,48969,14,1.0,2016-10-17,1,1,1,4
64402,64402,64402,261818,tablet,8542,14,2.0,2016-10-18,1,1,1,4
64403,64403,64403,261818,tablet,44361,14,3.0,2016-10-19,1,2,1,4
64404,64404,64404,261818,tablet,26397,14,4.0,2016-10-21,2,1,2,4
64405,64405,64405,261818,tablet,46946,14,6.0,2016-10-22,1,4,1,4
64406,64406,64406,261818,tablet,38509,14,7.0,2016-10-26,4,2,4,4
64407,64407,64407,261818,tablet,20791,14,11.0,2016-10-28,2,3,2,4
64408,64408,64408,261818,tablet,382,14,13.0,2016-10-31,15,13,3,4
64409,64409,64409,261818,mobile,16389,14,28.0,2016-11-13,1,1,1,4
64410,64410,64410,261818,mobile,9110,14,29.0,2016-11-14,1,1,1,4
64411,64411,64411,261818,mobile,35096,14,30.0,2016-11-15,1,1,1,4
64412,64412,64412,261818,mobile,44231,14,31.0,2016-11-16,1,1,1,4
64413,64413,64413,261818,mobile,0,14,32.0,2016-11-17,9999,9999,1,4
