,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
45669,45669,45669,184146,mobile,53373,12,0.0,2016-04-29,1,2,1,4
45670,45670,45670,184146,mobile,26059,12,1.0,2016-05-01,2,1,2,4
45671,45671,45671,184146,mobile,64886,12,3.0,2016-05-02,1,2,1,4
45672,45672,45672,184146,mobile,53373,12,4.0,2016-05-04,7,6,2,4
45673,45673,45673,184146,mobile,62927,12,11.0,2016-05-10,1,1,1,4
45674,45674,45674,184146,mobile,23983,12,12.0,2016-05-11,1,1,1,4
45675,45675,45675,184146,mobile,36818,12,13.0,2016-05-12,1,1,1,4
45676,45676,45676,184146,mobile,0,12,14.0,2016-05-13,15,16,1,4
45677,45677,45677,184146,desktop,12683,12,29.0,2016-05-29,2,1,2,4
45678,45678,45678,184146,mobile,54088,12,31.0,2016-05-30,1,4,1,4
45679,45679,45679,184146,mobile,53373,12,32.0,2016-06-03,4,3,4,4
45680,45680,45680,184146,mobile,53373,12,36.0,2016-06-06,9999,9999,3,4
