,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
79168,79168,79168,322206,tablet,13260,13,0.0,2016-03-20,1,1,1,4
79169,79169,79169,322206,tablet,56138,13,1.0,2016-03-21,1,1,1,4
79170,79170,79170,322206,tablet,19912,13,2.0,2016-03-22,1,1,1,4
79171,79171,79171,322206,desktop,41932,13,3.0,2016-03-23,1,1,1,4
79172,79172,79172,322206,tablet,46411,13,4.0,2016-03-24,1,1,1,4
79173,79173,79173,322206,tablet,41113,13,5.0,2016-03-25,1,3,1,4
79174,79174,79174,322206,tablet,60319,13,6.0,2016-03-28,198,197,3,4
79175,79175,79175,322206,tablet,34342,13,204.0,2016-10-11,2,3,2,4
79176,79176,79176,322206,tablet,46945,13,206.0,2016-10-14,3,1,3,4
79177,79177,79177,322206,tablet,17385,13,209.0,2016-10-15,1,2,1,4
79178,79178,79178,322206,tablet,42550,13,210.0,2016-10-17,2,3,2,4
79179,79179,79179,322206,tablet,62611,13,212.0,2016-10-20,3,2,3,4
79180,79180,79180,322206,tablet,42356,13,215.0,2016-10-22,9999,9999,2,4
