,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
8107,8107,8107,32369,desktop,45682,21,0.0,2016-02-02,5,1,5,4
8108,8108,8108,32369,desktop,65015,21,5.0,2016-02-03,1,2,1,4
8109,8109,8109,32369,tablet,6848,21,6.0,2016-02-05,2,1,2,4
8110,8110,8110,32369,desktop,56581,21,8.0,2016-02-06,1,1,1,4
8111,8111,8111,32369,desktop,45089,21,9.0,2016-02-07,4,4,1,4
8112,8112,8112,32369,tablet,56872,21,13.0,2016-02-11,1,1,1,4
8113,8113,8113,32369,tablet,16362,21,14.0,2016-02-12,1,1,1,4
8114,8114,8114,32369,tablet,5791,21,15.0,2016-02-13,1,2,1,4
8115,8115,8115,32369,tablet,51999,21,16.0,2016-02-15,2,1,2,4
8116,8116,8116,32369,mobile,2584,21,18.0,2016-02-16,1,2,1,4
8117,8117,8117,32369,tablet,34415,21,19.0,2016-02-18,293,292,2,4
8118,8118,8118,32369,tablet,7410,21,312.0,2016-12-06,1,3,1,4
8119,8119,8119,32369,desktop,36570,21,313.0,2016-12-09,3,1,3,4
8120,8120,8120,32369,tablet,7410,21,316.0,2016-12-10,1,4,1,4
8121,8121,8121,32369,tablet,57931,21,317.0,2016-12-14,4,1,4,4
8122,8122,8122,32369,tablet,67365,21,321.0,2016-12-15,1,2,1,4
8123,8123,8123,32369,tablet,30836,21,322.0,2016-12-17,7,6,2,4
8124,8124,8124,32369,tablet,63967,21,329.0,2016-12-23,1,1,1,4
8125,8125,8125,32369,tablet,56482,21,330.0,2016-12-24,1,3,1,4
8126,8126,8126,32369,mobile,13356,21,331.0,2016-12-27,4,2,3,4
8127,8127,8127,32369,mobile,0,21,335.0,2016-12-29,9999,9999,1,4
