,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
70427,70427,70427,286248,mobile,6233,14,0.0,2016-04-17,1,1,1,4
70428,70428,70428,286248,mobile,41371,14,1.0,2016-04-18,1,1,1,4
70429,70429,70429,286248,mobile,60237,14,2.0,2016-04-19,1,1,1,4
70430,70430,70430,286248,mobile,0,14,3.0,2016-04-20,6,7,1,4
70431,70431,70431,286248,mobile,31057,14,9.0,2016-04-27,2,1,2,4
70432,70432,70432,286248,mobile,50365,14,11.0,2016-04-28,1,2,1,4
70433,70433,70433,286248,mobile,14549,14,12.0,2016-04-30,2,1,2,4
70434,70434,70434,286248,mobile,0,14,14.0,2016-05-01,9,9,1,4
70435,70435,70435,286248,mobile,47155,14,23.0,2016-05-10,1,1,1,4
70436,70436,70436,286248,mobile,52567,14,24.0,2016-05-11,1,1,1,4
70437,70437,70437,286248,mobile,47486,14,25.0,2016-05-12,1,1,1,4
70438,70438,70438,286248,mobile,47155,14,26.0,2016-05-13,1,1,1,4
70439,70439,70439,286248,mobile,8354,14,27.0,2016-05-14,1,2,1,4
70440,70440,70440,286248,mobile,37874,14,28.0,2016-05-16,9999,9999,2,4
