,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
39881,39881,39881,159887,desktop,36063,13,0.0,2016-02-29,1,1,1,4
39882,39882,39882,159887,mobile,36063,13,1.0,2016-03-01,1,1,1,4
39883,39883,39883,159887,mobile,36063,13,2.0,2016-03-02,1,1,1,4
39884,39884,39884,159887,mobile,36063,13,3.0,2016-03-03,1,1,1,4
39885,39885,39885,159887,mobile,36063,13,4.0,2016-03-04,5,5,1,4
39886,39886,39886,159887,mobile,36063,13,9.0,2016-03-09,1,1,1,4
39887,39887,39887,159887,desktop,36063,13,10.0,2016-03-10,1,1,1,4
39888,39888,39888,159887,mobile,36063,13,11.0,2016-03-11,1,1,1,4
39889,39889,39889,159887,desktop,36063,13,12.0,2016-03-12,27,27,1,4
39890,39890,39890,159887,mobile,36063,13,39.0,2016-04-08,1,1,1,4
39891,39891,39891,159887,mobile,36063,13,40.0,2016-04-09,1,1,1,4
39892,39892,39892,159887,mobile,36063,13,41.0,2016-04-10,1,1,1,4
39893,39893,39893,159887,mobile,0,13,42.0,2016-04-11,9999,9999,1,4
