,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
45944,45944,45944,185169,mobile,65663,10,0.0,2016-03-26,1,3,1,3
45945,45945,45945,185169,mobile,33118,10,1.0,2016-03-29,3,1,3,3
45946,45946,45946,185169,mobile,65663,10,4.0,2016-03-30,1,1,1,3
45947,45947,45947,185169,mobile,65663,10,5.0,2016-03-31,1,1,1,3
45948,45948,45948,185169,mobile,36435,10,6.0,2016-04-01,1,1,1,3
45949,45949,45949,185169,mobile,0,10,7.0,2016-04-02,166,166,1,3
45950,45950,45950,185169,mobile,26215,10,173.0,2016-09-15,1,1,1,3
45951,45951,45951,185169,mobile,26215,10,174.0,2016-09-16,4,4,1,3
45952,45952,45952,185169,mobile,59808,10,178.0,2016-09-20,1,1,1,3
45953,45953,45953,185169,mobile,29672,10,179.0,2016-09-21,9999,9999,1,3
