,checkin,city_id
90840,0.0,36063
90841,3.0,26008
90842,6.0,26008
90843,9.0,36063
90844,13.0,26008
90845,149.0,26008
90846,156.0,22336
90847,157.0,52948
90848,158.0,35537
90849,159.0,19794
90850,160.0,22395
90851,161.0,52298
90852,162.0,11052
90853,163.0,20311
90854,164.0,29770
90855,166.0,53181
90856,167.0,29907
90857,168.0,34672
90858,170.0,47163
90859,171.0,1805
90860,173.0,21929
90861,175.0,9088
90862,176.0,53633
90863,177.0,65524
90864,178.0,13570
90865,179.0,40910
90866,180.0,26008
90867,183.0,36063
