,time,city_id
98284,0.0,36063
98285,1.0,36063
98286,2.0,36063
98287,3.0,36063
98288,9.0,36063
98289,10.0,36063
98290,11.0,36063
98291,12.0,0
98292,116.0,36063
98293,118.0,36063
98294,119.0,36063
98295,120.0,36063
98296,121.0,36063
98297,122.0,36063
98298,123.0,36063
98299,124.0,36063
98300,125.0,36063
98301,126.0,36063
98302,127.0,36063
98303,128.0,36063
98304,129.0,36063
98305,136.0,6421
98306,137.0,6421
98307,138.0,6421
98308,139.0,36063
98309,161.0,36063
98310,162.0,36063
98311,163.0,36063
98312,164.0,36063
98313,165.0,36063
98314,166.0,36063
98315,167.0,36063
