,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
69466,69466,69466,282220,desktop,47499,10,0.0,2016-07-25,3,1,3,3
69467,69467,69467,282220,desktop,4216,10,3.0,2016-07-26,1,2,1,3
69468,69468,69468,282220,desktop,3814,10,4.0,2016-07-28,2,2,2,3
69469,69469,69469,282220,desktop,0,10,6.0,2016-07-30,142,142,2,3
69470,69470,69470,282220,desktop,23714,10,148.0,2016-12-19,2,3,2,3
69471,69471,69471,282220,desktop,29843,10,150.0,2016-12-22,3,3,3,3
69472,69472,69472,282220,desktop,37407,10,153.0,2016-12-25,3,4,3,3
69473,69473,69473,282220,desktop,66648,10,156.0,2016-12-29,4,1,4,3
69474,69474,69474,282220,desktop,30520,10,160.0,2016-12-30,1,1,1,3
69475,69475,69475,282220,desktop,0,10,161.0,2016-12-31,9999,9999,1,3
