,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
91401,91401,91401,371709,desktop,17127,13,0.0,2016-05-20,2,1,2,4
91402,91402,91402,371709,desktop,34903,13,2.0,2016-05-21,1,1,1,4
91403,91403,91403,371709,desktop,30328,13,3.0,2016-05-22,1,1,1,4
91404,91404,91404,371709,desktop,55523,13,4.0,2016-05-23,1,1,1,4
91405,91405,91405,371709,desktop,52308,13,5.0,2016-05-24,1,2,1,4
91406,91406,91406,371709,desktop,6788,13,6.0,2016-05-26,107,106,2,4
91407,91407,91407,371709,desktop,10811,13,113.0,2016-09-09,1,1,1,4
91408,91408,91408,371709,desktop,37427,13,114.0,2016-09-10,1,1,1,4
91409,91409,91409,371709,desktop,4691,13,115.0,2016-09-11,1,1,1,4
91410,91410,91410,371709,desktop,14905,13,116.0,2016-09-12,1,1,1,4
91411,91411,91411,371709,desktop,23940,13,117.0,2016-09-13,1,1,1,4
91412,91412,91412,371709,desktop,37175,13,118.0,2016-09-14,1,1,1,4
91413,91413,91413,371709,desktop,39097,13,119.0,2016-09-15,9999,9999,1,4
