,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
59598,59598,59598,242134,desktop,3763,11,0.0,2017-02-01,4,2,4,4
59599,59599,59599,242134,desktop,30520,11,4.0,2017-02-03,2,1,2,4
59600,59600,59600,242134,desktop,19836,11,6.0,2017-02-04,1,1,1,4
59601,59601,59601,242134,desktop,47389,11,7.0,2017-02-05,1,1,1,4
59602,59602,59602,242134,desktop,18417,11,8.0,2017-02-06,1,1,1,4
59603,59603,59603,242134,desktop,67068,11,9.0,2017-02-07,1,2,1,4
59604,59604,59604,242134,desktop,66648,11,10.0,2017-02-09,2,2,2,4
59605,59605,59605,242134,desktop,26235,11,12.0,2017-02-11,2,1,2,4
59606,59606,59606,242134,desktop,25676,11,14.0,2017-02-12,1,1,1,4
59607,59607,59607,242134,desktop,47238,11,15.0,2017-02-13,1,1,1,4
59608,59608,59608,242134,desktop,51291,11,16.0,2017-02-14,9999,9999,1,4
