,checkin,city_id
71316,0.0,58079
71317,1.0,11535
71318,3.0,5052
71319,4.0,52177
71320,5.0,51276
71321,7.0,6785
71322,10.0,21033
71323,13.0,31088
71324,15.0,0
71325,105.0,48828
71326,107.0,46778
71327,111.0,5006
71328,114.0,24009
71329,117.0,3270
71330,120.0,10823
71331,124.0,64103
71332,258.0,27097
71333,260.0,51840
71334,261.0,37471
71335,264.0,27400
71336,265.0,44137
71337,266.0,15474
71338,267.0,58555
71339,269.0,36361
71340,270.0,55797
71341,271.0,11790
71342,272.0,65183
71343,273.0,51295
71344,274.0,11558
71345,275.0,5293
