,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
34930,34930,34930,141419,desktop,48483,11,0.0,2016-04-12,2,1,2,4
34931,34931,34931,141419,desktop,27079,11,2.0,2016-04-13,1,1,1,4
34932,34932,34932,141419,desktop,56062,11,3.0,2016-04-14,1,1,1,4
34933,34933,34933,141419,desktop,23921,11,4.0,2016-04-15,1,1,1,4
34934,34934,34934,141419,desktop,11233,11,5.0,2016-04-16,1,1,1,4
34935,34935,34935,141419,desktop,65322,11,6.0,2016-04-17,1,1,1,4
34936,34936,34936,141419,desktop,11457,11,7.0,2016-04-18,1,1,1,4
34937,34937,34937,141419,desktop,58413,11,8.0,2016-04-19,1,1,1,4
34938,34938,34938,141419,desktop,21560,11,9.0,2016-04-20,1,1,1,4
34939,34939,34939,141419,desktop,42293,11,10.0,2016-04-21,1,1,1,4
34940,34940,34940,141419,desktop,0,11,11.0,2016-04-22,9999,9999,1,4
