,time,city_id
60312,0.0,40702
60313,2.0,60334
60314,3.0,45570
60315,4.0,19986
60316,5.0,17303
60317,6.0,24496
60318,7.0,18691
60319,8.0,42457
60320,10.0,37457
60321,11.0,3915
60322,13.0,36129
60323,14.0,27701
60324,17.0,54705
60325,19.0,0
60326,187.0,5781
60327,189.0,41111
60328,191.0,55918
60329,192.0,60596
60330,193.0,60596
60331,194.0,45729
60332,195.0,11563
60333,197.0,52450
60334,198.0,52450
60335,199.0,35543
60336,201.0,44103
60337,204.0,49493
60338,205.0,8486
60339,207.0,61982
60340,208.0,5781
