,checkin,city_id
27298,0.0,3763
27299,1.0,3763
27300,2.0,17127
27301,3.0,17127
27302,4.0,17127
27303,6.0,17127
27304,7.0,17127
27305,8.0,17127
27306,9.0,17127
27307,10.0,35189
27308,68.0,2636
27309,69.0,2636
27310,70.0,2636
27311,71.0,2636
27312,72.0,2636
27313,73.0,2636
27314,74.0,2636
27315,75.0,2636
27316,76.0,2636
27317,77.0,45707
27318,81.0,45707
27319,82.0,45707
27320,83.0,3056
27321,87.0,3056
27322,88.0,3056
27323,89.0,3056
27324,90.0,3056
27325,91.0,6033
27326,94.0,6033
27327,95.0,6033
27328,96.0,6033
27329,97.0,0
27330,105.0,58359
27331,107.0,49818
27332,110.0,49818
27333,112.0,49818
27334,127.0,49818
27335,128.0,49818
27336,129.0,49818
27337,130.0,49818
27338,131.0,49818
27339,132.0,49818
27340,162.0,37149
27341,163.0,37149
27342,164.0,49594
27343,166.0,49594
27344,167.0,29963
