,Unnamed: 0,Unnamed: 0.1,user_id,device_class,city_id,nr_trips,checkin,checkout,diff_checkin,diff_checkout,diff_inout,label
85802,85802,85802,349899,desktop,36063,11,0.0,2016-05-25,1,2,1,4
85803,85803,85803,349899,desktop,19444,11,1.0,2016-05-27,2,1,2,4
85804,85804,85804,349899,desktop,43306,11,3.0,2016-05-28,1,2,1,4
85805,85805,85805,349899,desktop,36063,11,4.0,2016-05-30,86,87,2,4
85806,85806,85806,349899,desktop,17127,11,90.0,2016-08-25,3,1,3,4
85807,85807,85807,349899,desktop,24214,11,93.0,2016-08-26,1,2,1,4
85808,85808,85808,349899,desktop,14639,11,94.0,2016-08-28,2,1,2,4
85809,85809,85809,349899,desktop,57658,11,96.0,2016-08-29,1,3,1,4
85810,85810,85810,349899,desktop,51746,11,97.0,2016-09-01,3,3,3,4
85811,85811,85811,349899,desktop,61613,11,100.0,2016-09-04,3,2,3,4
85812,85812,85812,349899,desktop,0,11,103.0,2016-09-06,9999,9999,2,4
