,time,city_id
73791,0.0,48483
73792,3.0,19595
73793,5.0,3914
73794,8.0,23708
73795,9.0,65322
73796,10.0,38772
73797,19.0,0
73798,72.0,65635
73799,73.0,47366
73800,74.0,65635
73801,75.0,4574
73802,76.0,38615
73803,154.0,17013
73804,158.0,38912
73805,163.0,65635
73806,166.0,4574
73807,167.0,38615
73808,168.0,4932
73809,177.0,4574
73810,178.0,38912
73811,181.0,38912
73812,183.0,38772
73813,185.0,47366
73814,186.0,65635
73815,193.0,4574
73816,198.0,65635
73817,199.0,47366
73818,200.0,65635
73819,201.0,4574
73820,202.0,38615
73821,203.0,4932
