,time,city_id
12542,0.0,35995
12543,1.0,44880
12544,2.0,19876
12545,3.0,41009
12546,4.0,38023
12547,6.0,29984
12548,7.0,7983
12549,8.0,33780
12550,9.0,39878
12551,10.0,22175
12552,11.0,22175
12553,12.0,7796
12554,13.0,7796
12555,14.0,51806
12556,63.0,9736
12557,65.0,36743
12558,66.0,47238
12559,67.0,29638
12560,68.0,24806
12561,69.0,33049
12562,70.0,31873
12563,71.0,11436
12564,72.0,0
12565,161.0,58819
12566,162.0,22490
12567,163.0,44908
12568,164.0,28829
12569,165.0,39680
12570,166.0,33540
12571,167.0,56916
12572,168.0,20345
12573,169.0,49237
12574,170.0,11688
12575,171.0,62541
